"","Home","Away","Home_score","Away_score","Winner","H_Overall_W","H_Overall_L","H_Overall_Pct","H_Conf_W","H_Conf_L","H_Conf_Pct","H_Pts_for","H_Pts_against","H_SRS","H_SOS","H_Poll_curr","H_Poll_pre","H_Poll_high","H_Offensive_Points","H_Offensive_Pass_Completions","H_Offensive_Pass_Attempts","H_Offensive_Pass_Pct","H_Offensive_Pass_Yrds","H_Offensive_Pass_TD","H_Offensive_RusH_Attempts","H_Offensive_RusH_Yards","H_Offensive_RusH_Yards_Average","H_Offensive_RusH_TD","H_Offensive_Total_Plays","H_Offensive_Total_Yards","H_Offensive_Total_Average","H_Offensive_First_Downs_Pass","H_Offensive_First_Downs_Rush","H_Offensive_First_Downs_Penalty","H_Offensive_First_Downs_Total","H_Offensive_Penalties_Number","H_Offensive_Penalties_Yards","H_Offensive_Turnovers_Fumbles","H_Offensive_Turnovers_Pass_Interception","H_Offensive_Turnovers_Total","H_Defensive_Points","H_Defensive_Pass_Completions","H_Defensive_Pass_Attempts","H_Defensive_Pass_Pct","H_Defensive_Pass_Yrds","H_Defensive_Pass_TD","H_Defensive_RusH_Attempts","H_Defensive_RusH_Yards","H_Defensive_RusH_Yards_Average","H_Defensive_RusH_TD","H_Defensive_Total_Plays","H_Defensive_Total_Yards","H_Defensive_Total_Average","H_Defensive_First_Downs_Pass","H_Defensive_First_Downs_Rush","H_Defensive_First_Downs_Penalty","H_Defensive_First_Downs_Total","H_Defensive_Penalties_Number","H_Defensive_Penalties_Yards","H_Defensive_Turnovers_Fumbles","H_Defensive_Turnovers_Pass_Interception","H_Defensive_Turnovers_Total","A_Overall_W","A_Overall_L","A_Overall_Pct","A_Conf_W","A_Conf_L","A_Conf_Pct","A_Pts_for","A_Pts_against","A_SRS","A_SOS","A_Poll_curr","A_Poll_pre","A_Poll_high","A_Offensive_Points","A_Offensive_Pass_Completions","A_Offensive_Pass_Attempts","A_Offensive_Pass_Pct","A_Offensive_Pass_Yrds","A_Offensive_Pass_TD","A_Offensive_RusA_Attempts","A_Offensive_RusA_Yards","A_Offensive_RusA_Yards_Average","A_Offensive_RusA_TD","A_Offensive_Total_Plays","A_Offensive_Total_Yards","A_Offensive_Total_Average","A_Offensive_First_Downs_Pass","A_Offensive_First_Downs_Rush","A_Offensive_First_Downs_Penalty","A_Offensive_First_Downs_Total","A_Offensive_Penalties_Number","A_Offensive_Penalties_Yards","A_Offensive_Turnovers_Fumbles","A_Offensive_Turnovers_Pass_Interception","A_Offensive_Turnovers_Total","A_Defensive_Points","A_Defensive_Pass_Completions","A_Defensive_Pass_Attempts","A_Defensive_Pass_Pct","A_Defensive_Pass_Yrds","A_Defensive_Pass_TD","A_Defensive_RusA_Attempts","A_Defensive_RusA_Yards","A_Defensive_RusA_Yards_Average","A_Defensive_RusA_TD","A_Defensive_Total_Plays","A_Defensive_Total_Yards","A_Defensive_Total_Average","A_Defensive_First_Downs_Pass","A_Defensive_First_Downs_Rush","A_Defensive_First_Downs_Penalty","A_Defensive_First_Downs_Total","A_Defensive_Penalties_Number","A_Defensive_Penalties_Yards","A_Defensive_Turnovers_Fumbles","A_Defensive_Turnovers_Pass_Interception","A_Defensive_Turnovers_Total"
"257","Washington","Stanford",27,23,0,10,3,0.769,8,2,0.8,26.6,15.5,11.87,3.02,10,6,6,26.6,17.5,26.9,65.1,232.5,1.4,40.6,179.9,4.4,1.8,67.5,412.4,6.1,10.9,9.2,1.6,21.8,4.8,44.1,0.4,0.9,1.3,15.5,20.8,32.3,64.3,185.4,0.7,33,116.4,3.5,0.9,65.3,301.8,4.6,9.3,6.2,1,16.5,5,43,0.6,0.8,1.5,7,4,0.636,5,3,0.625,30.2,24.7,7.68,3.5,NA,13,7,30.2,22.5,34.3,65.5,291.6,2.5,28.6,109.8,3.8,1.2,62.9,401.5,6.4,12.4,4.9,3,20.3,5.5,42.5,0.3,1,1.3,24.7,22.7,36.2,62.8,281.7,1.2,36.3,139.6,3.8,1.5,72.5,421.4,5.8,12.7,7.6,1.1,21.5,6.6,66,0.5,0.8,1.3
"258","Washington State","California",19,13,0,10,2,0.833,7,2,0.778,38.3,23.1,12.49,-0.17,12,NA,7,38.3,36.9,52.3,70.5,379.8,3.1,21.8,83.2,3.8,1.8,74.1,462.9,6.2,18,4.7,1.9,24.9,6.7,65,0.3,0.8,1.1,23.1,17.8,30.3,58.5,208.8,1.4,33.9,137.2,4,1.5,64.3,345.9,5.4,8.9,7.6,2.8,19.3,7,60.2,0.8,0.8,1.7,7,4,0.636,4,4,0.5,23.6,21.1,2.76,0.03,NA,NA,24,23.6,19.5,31.8,61.1,186.8,1.4,38.5,163.2,4.2,1.1,70.3,350,5,8.7,8.8,2.4,19.9,6.2,54.6,0.9,1.2,2.1,21.1,17.9,30.6,58.5,182.5,1.1,37.9,136,3.6,1,68.5,318.5,4.6,8.3,7.9,1.5,17.7,6.5,58.2,0.5,1.5,2.1
"259","Arizona State","UCLA",31,28,0,7,5,0.583,5,4,0.556,30.8,25.1,6.38,1.46,NA,NA,23,30.8,19,30.5,62.3,241.3,1.6,38.4,185.9,4.8,2.1,68.9,427.3,6.2,10.3,9.7,1.8,21.8,6.3,56.6,0.3,0.4,0.8,25.1,19.3,31.6,60.9,238.7,1.7,39.6,164.2,4.1,1.2,71.2,402.8,5.7,10.8,9.8,2.2,22.8,6,56,0.7,0.8,1.5,3,9,0.25,3,6,0.333,24.6,34.1,-1.58,7.34,NA,NA,NA,24.6,19.9,33.6,59.3,237.8,1.1,37.5,155.3,4.1,1.7,71.1,393,5.5,11.2,8.2,1.8,21.1,6.8,57,0.6,0.8,1.4,34.1,18.8,30.9,60.9,245.5,1.6,42.9,200.1,4.7,2.6,73.8,445.6,6,11.3,10.1,2.1,23.4,5.4,47.5,0.6,0.9,1.5
"260","USC","California",14,15,1,5,7,0.417,4,5,0.444,26.1,27,2.87,4.03,NA,15,15,26.1,20.3,33.4,60.8,248.2,1.5,32.8,134.4,4.1,1.4,66.2,382.6,5.8,10.3,7,1.9,19.3,8,73.6,0.8,0.8,1.6,27,19.9,33.9,58.7,223.3,1.7,38.3,164.8,4.3,1.7,72.2,388.1,5.4,10.7,7.8,2,20.5,5.8,56.9,0.5,0.3,0.8,7,4,0.636,4,4,0.5,23.6,21.1,2.76,0.03,NA,NA,24,23.6,19.5,31.8,61.1,186.8,1.4,38.5,163.2,4.2,1.1,70.3,350,5,8.7,8.8,2.4,19.9,6.2,54.6,0.9,1.2,2.1,21.1,17.9,30.6,58.5,182.5,1.1,37.9,136,3.6,1,68.5,318.5,4.6,8.3,7.9,1.5,17.7,6.5,58.2,0.5,1.5,2.1
"261","Stanford","Oregon State",48,17,0,7,4,0.636,5,3,0.625,30.2,24.7,7.68,3.5,NA,13,7,30.2,22.5,34.3,65.5,291.6,2.5,28.6,109.8,3.8,1.2,62.9,401.5,6.4,12.4,4.9,3,20.3,5.5,42.5,0.3,1,1.3,24.7,22.7,36.2,62.8,281.7,1.2,36.3,139.6,3.8,1.5,72.5,421.4,5.8,12.7,7.6,1.1,21.5,6.6,66,0.5,0.8,1.3,2,10,0.167,1,8,0.111,26.1,45.7,-10.47,3.95,NA,NA,NA,26.1,21.6,35.8,60.2,249.2,1.4,40.4,155.6,3.8,1.9,76.3,404.8,5.3,11.5,8.8,1.6,21.9,5.3,47.9,0.8,0.8,1.5,45.7,19.6,30.8,63.7,254.9,2.8,41.5,282,6.8,3.1,72.3,536.9,7.4,11.1,13,1.5,25.6,5.2,47.3,0.4,0.3,0.7
"262","Utah","Oregon",32,25,0,9,4,0.692,6,4,0.6,28.7,18.5,11.47,3.23,17,NA,16,28.7,17.2,27.8,61.6,207.2,1.3,40.8,189.5,4.6,1.8,68.7,396.6,5.8,8.7,10.2,1.5,20.4,5.2,47.8,0.8,0.8,1.5,18.5,19.3,33.7,57.3,213.3,1.2,34.1,102.9,3,1,67.8,316.2,4.7,9.1,5.9,2,17,4.7,45.2,0.5,1.1,1.5,8,4,0.667,5,4,0.556,37.2,27,6.78,-0.39,NA,24,12,37.2,18.9,32,59.1,254.7,2.3,41.6,192.8,4.6,2.3,73.6,447.5,6.1,11,9.8,1.7,22.5,4.8,46.1,0.8,0.7,1.4,27,19.6,34.3,57,247.4,2,37.9,145.7,3.8,1.1,72.3,393.1,5.4,11.6,7.7,1.9,21.2,5.7,43.4,0.5,1.3,1.8
"263","Colorado","Washington State",7,31,1,5,7,0.417,2,7,0.222,27.1,27.3,-0.55,0.7,NA,NA,19,27.1,22.6,35,64.5,249.6,1.6,37.7,143,3.8,1.8,72.7,392.6,5.4,11.1,7.6,2,20.7,5.9,55.3,0.6,1,1.6,27.3,19,33.6,56.6,233.8,1.9,39,146.5,3.8,1,72.6,380.3,5.2,9.7,8.3,2.3,20.3,7.2,64.6,0.6,0.7,1.3,10,2,0.833,7,2,0.778,38.3,23.1,12.49,-0.17,12,NA,7,38.3,36.9,52.3,70.5,379.8,3.1,21.8,83.2,3.8,1.8,74.1,462.9,6.2,18,4.7,1.9,24.9,6.7,65,0.3,0.8,1.1,23.1,17.8,30.3,58.5,208.8,1.4,33.9,137.2,4,1.5,64.3,345.9,5.4,8.9,7.6,2.8,19.3,7,60.2,0.8,0.8,1.7
"264","Oregon","Arizona State",31,29,0,8,4,0.667,5,4,0.556,37.2,27,6.78,-0.39,NA,24,12,37.2,18.9,32,59.1,254.7,2.3,41.6,192.8,4.6,2.3,73.6,447.5,6.1,11,9.8,1.7,22.5,4.8,46.1,0.8,0.7,1.4,27,19.6,34.3,57,247.4,2,37.9,145.7,3.8,1.1,72.3,393.1,5.4,11.6,7.7,1.9,21.2,5.7,43.4,0.5,1.3,1.8,7,5,0.583,5,4,0.556,30.8,25.1,6.38,1.46,NA,NA,23,30.8,19,30.5,62.3,241.3,1.6,38.4,185.9,4.8,2.1,68.9,427.3,6.2,10.3,9.7,1.8,21.8,6.3,56.6,0.3,0.4,0.8,25.1,19.3,31.6,60.9,238.7,1.7,39.6,164.2,4.1,1.2,71.2,402.8,5.7,10.8,9.8,2.2,22.8,6,56,0.7,0.8,1.5
"265","UCLA","USC",34,27,0,3,9,0.25,3,6,0.333,24.6,34.1,-1.58,7.34,NA,NA,NA,24.6,19.9,33.6,59.3,237.8,1.1,37.5,155.3,4.1,1.7,71.1,393,5.5,11.2,8.2,1.8,21.1,6.8,57,0.6,0.8,1.4,34.1,18.8,30.9,60.9,245.5,1.6,42.9,200.1,4.7,2.6,73.8,445.6,6,11.3,10.1,2.1,23.4,5.4,47.5,0.6,0.9,1.5,5,7,0.417,4,5,0.444,26.1,27,2.87,4.03,NA,15,15,26.1,20.3,33.4,60.8,248.2,1.5,32.8,134.4,4.1,1.4,66.2,382.6,5.8,10.3,7,1.9,19.3,8,73.6,0.8,0.8,1.6,27,19.9,33.9,58.7,223.3,1.7,38.3,164.8,4.3,1.7,72.2,388.1,5.4,10.7,7.8,2,20.5,5.8,56.9,0.5,0.3,0.8
"266","Colorado","Utah",7,30,1,5,7,0.417,2,7,0.222,27.1,27.3,-0.55,0.7,NA,NA,19,27.1,22.6,35,64.5,249.6,1.6,37.7,143,3.8,1.8,72.7,392.6,5.4,11.1,7.6,2,20.7,5.9,55.3,0.6,1,1.6,27.3,19,33.6,56.6,233.8,1.9,39,146.5,3.8,1,72.6,380.3,5.2,9.7,8.3,2.3,20.3,7.2,64.6,0.6,0.7,1.3,9,4,0.692,6,4,0.6,28.7,18.5,11.47,3.23,17,NA,16,28.7,17.2,27.8,61.6,207.2,1.3,40.8,189.5,4.6,1.8,68.7,396.6,5.8,8.7,10.2,1.5,20.4,5.2,47.8,0.8,0.8,1.5,18.5,19.3,33.7,57.3,213.3,1.2,34.1,102.9,3,1,67.8,316.2,4.7,9.1,5.9,2,17,4.7,45.2,0.5,1.1,1.5
"267","Washington","Oregon State",42,23,0,10,3,0.769,8,2,0.8,26.6,15.5,11.87,3.02,10,6,6,26.6,17.5,26.9,65.1,232.5,1.4,40.6,179.9,4.4,1.8,67.5,412.4,6.1,10.9,9.2,1.6,21.8,4.8,44.1,0.4,0.9,1.3,15.5,20.8,32.3,64.3,185.4,0.7,33,116.4,3.5,0.9,65.3,301.8,4.6,9.3,6.2,1,16.5,5,43,0.6,0.8,1.5,2,10,0.167,1,8,0.111,26.1,45.7,-10.47,3.95,NA,NA,NA,26.1,21.6,35.8,60.2,249.2,1.4,40.4,155.6,3.8,1.9,76.3,404.8,5.3,11.5,8.8,1.6,21.9,5.3,47.9,0.8,0.8,1.5,45.7,19.6,30.8,63.7,254.9,2.8,41.5,282,6.8,3.1,72.3,536.9,7.4,11.1,13,1.5,25.6,5.2,47.3,0.4,0.3,0.7
"268","Washington State","Arizona",69,28,0,10,2,0.833,7,2,0.778,38.3,23.1,12.49,-0.17,12,NA,7,38.3,36.9,52.3,70.5,379.8,3.1,21.8,83.2,3.8,1.8,74.1,462.9,6.2,18,4.7,1.9,24.9,6.7,65,0.3,0.8,1.1,23.1,17.8,30.3,58.5,208.8,1.4,33.9,137.2,4,1.5,64.3,345.9,5.4,8.9,7.6,2.8,19.3,7,60.2,0.8,0.8,1.7,5,7,0.417,4,5,0.444,31.3,32.6,0.12,1.45,NA,NA,NA,31.3,18,32.4,55.5,255.3,2.4,41.1,202.4,4.9,1.2,73.5,457.7,6.2,10.8,9.6,3.2,23.6,7.9,75.7,0.8,0.8,1.6,32.6,23.4,36.7,63.9,269.5,2.3,38.7,162.5,4.2,2,75.3,432,5.7,12.2,8.5,3,23.7,8.7,82.3,0.7,0.6,1.3
"269","Oregon State","Oregon",15,55,1,2,10,0.167,1,8,0.111,26.1,45.7,-10.47,3.95,NA,NA,NA,26.1,21.6,35.8,60.2,249.2,1.4,40.4,155.6,3.8,1.9,76.3,404.8,5.3,11.5,8.8,1.6,21.9,5.3,47.9,0.8,0.8,1.5,45.7,19.6,30.8,63.7,254.9,2.8,41.5,282,6.8,3.1,72.3,536.9,7.4,11.1,13,1.5,25.6,5.2,47.3,0.4,0.3,0.7,8,4,0.667,5,4,0.556,37.2,27,6.78,-0.39,NA,24,12,37.2,18.9,32,59.1,254.7,2.3,41.6,192.8,4.6,2.3,73.6,447.5,6.1,11,9.8,1.7,22.5,4.8,46.1,0.8,0.7,1.4,27,19.6,34.3,57,247.4,2,37.9,145.7,3.8,1.1,72.3,393.1,5.4,11.6,7.7,1.9,21.2,5.7,43.4,0.5,1.3,1.8
"270","Washington State","Washington",15,28,1,10,2,0.833,7,2,0.778,38.3,23.1,12.49,-0.17,12,NA,7,38.3,36.9,52.3,70.5,379.8,3.1,21.8,83.2,3.8,1.8,74.1,462.9,6.2,18,4.7,1.9,24.9,6.7,65,0.3,0.8,1.1,23.1,17.8,30.3,58.5,208.8,1.4,33.9,137.2,4,1.5,64.3,345.9,5.4,8.9,7.6,2.8,19.3,7,60.2,0.8,0.8,1.7,10,3,0.769,8,2,0.8,26.6,15.5,11.87,3.02,10,6,6,26.6,17.5,26.9,65.1,232.5,1.4,40.6,179.9,4.4,1.8,67.5,412.4,6.1,10.9,9.2,1.6,21.8,4.8,44.1,0.4,0.9,1.3,15.5,20.8,32.3,64.3,185.4,0.7,33,116.4,3.5,0.9,65.3,301.8,4.6,9.3,6.2,1,16.5,5,43,0.6,0.8,1.5
"271","Arizona","Arizona State",40,41,1,5,7,0.417,4,5,0.444,31.3,32.6,0.12,1.45,NA,NA,NA,31.3,18,32.4,55.5,255.3,2.4,41.1,202.4,4.9,1.2,73.5,457.7,6.2,10.8,9.6,3.2,23.6,7.9,75.7,0.8,0.8,1.6,32.6,23.4,36.7,63.9,269.5,2.3,38.7,162.5,4.2,2,75.3,432,5.7,12.2,8.5,3,23.7,8.7,82.3,0.7,0.6,1.3,7,5,0.583,5,4,0.556,30.8,25.1,6.38,1.46,NA,NA,23,30.8,19,30.5,62.3,241.3,1.6,38.4,185.9,4.8,2.1,68.9,427.3,6.2,10.3,9.7,1.8,21.8,6.3,56.6,0.3,0.4,0.8,25.1,19.3,31.6,60.9,238.7,1.7,39.6,164.2,4.1,1.2,71.2,402.8,5.7,10.8,9.8,2.2,22.8,6,56,0.7,0.8,1.5
"272","California","Colorado",33,21,0,7,4,0.636,4,4,0.5,23.6,21.1,2.76,0.03,NA,NA,24,23.6,19.5,31.8,61.1,186.8,1.4,38.5,163.2,4.2,1.1,70.3,350,5,8.7,8.8,2.4,19.9,6.2,54.6,0.9,1.2,2.1,21.1,17.9,30.6,58.5,182.5,1.1,37.9,136,3.6,1,68.5,318.5,4.6,8.3,7.9,1.5,17.7,6.5,58.2,0.5,1.5,2.1,5,7,0.417,2,7,0.222,27.1,27.3,-0.55,0.7,NA,NA,19,27.1,22.6,35,64.5,249.6,1.6,37.7,143,3.8,1.8,72.7,392.6,5.4,11.1,7.6,2,20.7,5.9,55.3,0.6,1,1.6,27.3,19,33.6,56.6,233.8,1.9,39,146.5,3.8,1,72.6,380.3,5.2,9.7,8.3,2.3,20.3,7.2,64.6,0.6,0.7,1.3
"273","UCLA","Stanford",42,49,1,3,9,0.25,3,6,0.333,24.6,34.1,-1.58,7.34,NA,NA,NA,24.6,19.9,33.6,59.3,237.8,1.1,37.5,155.3,4.1,1.7,71.1,393,5.5,11.2,8.2,1.8,21.1,6.8,57,0.6,0.8,1.4,34.1,18.8,30.9,60.9,245.5,1.6,42.9,200.1,4.7,2.6,73.8,445.6,6,11.3,10.1,2.1,23.4,5.4,47.5,0.6,0.9,1.5,7,4,0.636,5,3,0.625,30.2,24.7,7.68,3.5,NA,13,7,30.2,22.5,34.3,65.5,291.6,2.5,28.6,109.8,3.8,1.2,62.9,401.5,6.4,12.4,4.9,3,20.3,5.5,42.5,0.3,1,1.3,24.7,22.7,36.2,62.8,281.7,1.2,36.3,139.6,3.8,1.5,72.5,421.4,5.8,12.7,7.6,1.1,21.5,6.6,66,0.5,0.8,1.3
"274","California","Stanford",13,23,1,7,4,0.636,4,4,0.5,23.6,21.1,2.76,0.03,NA,NA,24,23.6,19.5,31.8,61.1,186.8,1.4,38.5,163.2,4.2,1.1,70.3,350,5,8.7,8.8,2.4,19.9,6.2,54.6,0.9,1.2,2.1,21.1,17.9,30.6,58.5,182.5,1.1,37.9,136,3.6,1,68.5,318.5,4.6,8.3,7.9,1.5,17.7,6.5,58.2,0.5,1.5,2.1,7,4,0.636,5,3,0.625,30.2,24.7,7.68,3.5,NA,13,7,30.2,22.5,34.3,65.5,291.6,2.5,28.6,109.8,3.8,1.2,62.9,401.5,6.4,12.4,4.9,3,20.3,5.5,42.5,0.3,1,1.3,24.7,22.7,36.2,62.8,281.7,1.2,36.3,139.6,3.8,1.5,72.5,421.4,5.8,12.7,7.6,1.1,21.5,6.6,66,0.5,0.8,1.3
